"Date.Time"	"Phase"	"Temp.1"	"Ox.1"	"Temp.2"	"Ox.2"	"Temp.3"	"Ox.3"	"Temp.4"	"Ox.4"
"11/03/2020/09:55:22"	"F"	14.972	9.2872	14.972	9.3029	14.972	9.3941	14.972	9.2499
"11/03/2020/09:55:23"	"F"	14.975	9.2864	14.975	9.3024	14.975	9.3947	14.975	9.2489
"11/03/2020/09:55:24"	"F"	14.973	9.2878	14.973	9.3148	14.973	9.3938	14.973	9.2573
"11/03/2020/09:55:25"	"F"	14.969	9.2865	14.969	9.3161	14.969	9.3865	14.969	9.2594
"11/03/2020/09:55:26"	"F"	14.971	9.2882	14.971	9.3205	14.971	9.3846	14.971	9.2633
"11/03/2020/09:55:27"	"F"	14.975	9.2904	14.975	9.3121	14.975	9.3836	14.975	9.2646
"11/03/2020/09:55:28"	"F"	14.974	9.2966	14.974	9.3172	14.974	9.3913	14.974	9.2606
"11/03/2020/09:55:29"	"F"	14.969	9.2946	14.969	9.3172	14.969	9.3956	14.969	9.2613
"11/03/2020/09:55:30"	"F"	14.966	9.2939	14.966	9.3227	14.966	9.4037	14.966	9.2535
"11/03/2020/09:55:31"	"F"	14.969	9.2911	14.969	9.3139	14.969	9.4058	14.969	9.2633
"11/03/2020/09:55:32"	"F"	14.968	9.3016	14.968	9.3032	14.968	9.4035	14.968	9.2712
"11/03/2020/09:55:33"	"F"	14.97	9.304	14.97	9.3078	14.97	9.3976	14.97	9.2778
"11/03/2020/09:55:34"	"F"	14.974	9.3044	14.974	9.3131	14.974	9.3966	14.974	9.2691
"11/03/2020/09:55:35"	"F"	14.978	9.2988	14.978	9.3242	14.978	9.3978	14.978	9.2643
"11/03/2020/09:55:36"	"F"	14.98	9.2935	14.98	9.3225	14.98	9.401	14.98	9.2621
"11/03/2020/09:55:37"	"F"	14.98	9.2897	14.98	9.3235	14.98	9.3943	14.98	9.2614
"11/03/2020/09:55:38"	"F"	14.982	9.2906	14.982	9.3114	14.982	9.3917	14.982	9.2654
"11/03/2020/09:55:39"	"F"	14.983	9.2875	14.983	9.3046	14.983	9.3926	14.983	9.2682
"11/03/2020/09:55:40"	"F"	14.977	9.2955	14.977	9.3074	14.977	9.3952	14.977	9.2734
"11/03/2020/09:55:41"	"F"	14.977	9.2895	14.977	9.3256	14.977	9.3943	14.977	9.2672
"11/03/2020/09:55:42"	"F"	14.979	9.2981	14.979	9.3371	14.979	9.3967	14.979	9.271
"11/03/2020/09:55:43"	"F"	14.981	9.2897	14.981	9.332	14.981	9.401	14.981	9.2704
"11/03/2020/09:55:44"	"F"	14.98	9.2979	14.98	9.3215	14.98	9.4065	14.98	9.2701
"11/03/2020/09:55:45"	"F"	14.979	9.2932	14.979	9.3185	14.979	9.3987	14.979	9.2694
"11/03/2020/09:55:46"	"F"	14.979	9.2996	14.979	9.317	14.979	9.3968	14.979	9.2662
"11/03/2020/09:55:47"	"F"	14.98	9.3026	14.98	9.3204	14.98	9.3967	14.98	9.2645
"11/03/2020/09:55:48"	"F"	14.979	9.307	14.979	9.3215	14.979	9.4042	14.979	9.2682
"11/03/2020/09:55:49"	"F"	14.978	9.3097	14.978	9.3308	14.978	9.4046	14.978	9.2695
"11/03/2020/09:55:50"	"F"	14.976	9.3091	14.976	9.329	14.976	9.404	14.976	9.2787
"11/03/2020/09:55:51"	"F"	14.974	9.3104	14.974	9.3275	14.974	9.4053	14.974	9.2744
"11/03/2020/09:55:52"	"F"	14.979	9.3111	14.979	9.324	14.979	9.4081	14.979	9.274
"11/03/2020/09:55:53"	"F"	14.979	9.3059	14.979	9.3283	14.979	9.4043	14.979	9.269
"11/03/2020/09:55:54"	"F"	14.977	9.3024	14.977	9.3216	14.977	9.4	14.977	9.2703
"11/03/2020/09:55:55"	"F"	14.974	9.2967	14.974	9.3147	14.974	9.3936	14.974	9.2733
"11/03/2020/09:55:56"	"F"	14.974	9.3038	14.974	9.3141	14.974	9.3968	14.974	9.2769
"11/03/2020/09:55:57"	"F"	14.976	9.3073	14.976	9.315	14.976	9.3983	14.976	9.2708
"11/03/2020/09:55:58"	"F"	14.971	9.3164	14.971	9.3267	14.971	9.4031	14.971	9.2705
"11/03/2020/09:55:59"	"F"	14.971	9.313	14.971	9.3247	14.971	9.4037	14.971	9.2687
"11/03/2020/09:56:00"	"F"	14.973	9.3119	14.973	9.3299	14.973	9.4052	14.973	9.2762
"11/03/2020/09:56:01"	"F"	14.979	9.3054	14.979	9.3347	14.979	9.4037	14.979	9.2825
"11/03/2020/09:56:02"	"F"	14.985	9.307	14.985	9.3335	14.985	9.4037	14.985	9.285
"11/03/2020/09:56:03"	"F"	14.985	9.3074	14.985	9.3307	14.985	9.4062	14.985	9.2918
"11/03/2020/09:56:04"	"F"	14.984	9.3053	14.984	9.3225	14.984	9.4094	14.984	9.2929
"11/03/2020/09:56:05"	"F"	14.981	9.305	14.981	9.3244	14.981	9.4095	14.981	9.2795
"11/03/2020/09:56:06"	"F"	14.978	9.3043	14.978	9.3257	14.978	9.4049	14.978	9.2619
"11/03/2020/09:56:07"	"F"	14.979	9.3077	14.979	9.3283	14.979	9.4081	14.979	9.2568
"11/03/2020/09:56:08"	"F"	14.977	9.3056	14.977	9.3316	14.977	9.4111	14.977	9.2698
"11/03/2020/09:56:09"	"F"	14.974	9.3072	14.974	9.3323	14.974	9.4196	14.974	9.281
"11/03/2020/09:56:10"	"F"	14.971	9.3102	14.971	9.3285	14.971	9.4169	14.971	9.287
"11/03/2020/09:56:11"	"F"	14.969	9.3084	14.969	9.3262	14.969	9.4225	14.969	9.2846
"11/03/2020/09:56:12"	"F"	14.973	9.3109	14.973	9.3278	14.973	9.417	14.973	9.2899
"11/03/2020/09:56:14"	"F"	14.971	9.3111	14.971	9.3342	14.971	9.4171	14.971	9.2969
"11/03/2020/09:56:14"	"F"	14.973	9.3081	14.973	9.3305	14.973	9.4129	14.973	9.3001
"11/03/2020/09:56:15"	"F"	14.973	9.3057	14.973	9.3273	14.973	9.4117	14.973	9.2974
"11/03/2020/09:56:17"	"F"	14.98	9.3105	14.98	9.327	14.98	9.4099	14.98	9.2899
"11/03/2020/09:56:17"	"F"	14.98	9.3176	14.98	9.3336	14.98	9.4057	14.98	9.2879
"11/03/2020/09:56:18"	"F"	14.983	9.3197	14.983	9.3369	14.983	9.4095	14.983	9.2921
"11/03/2020/09:56:19"	"F"	14.983	9.3097	14.983	9.3322	14.983	9.4092	14.983	9.2875
"11/03/2020/09:56:20"	"F"	14.98	9.3182	14.98	9.3307	14.98	9.4129	14.98	9.2946
"11/03/2020/09:56:22"	"F"	14.978	9.3161	14.978	9.3267	14.978	9.4116	14.978	9.2939
"11/03/2020/09:56:23"	"F"	14.978	9.3262	14.978	9.3245	14.978	9.4111	14.978	9.294
"11/03/2020/09:56:24"	"F"	14.984	9.3151	14.984	9.321	14.984	9.4139	14.984	9.2933
"11/03/2020/09:56:25"	"F"	14.99	9.3115	14.99	9.3257	14.99	9.4115	14.99	9.2935
"11/03/2020/09:56:26"	"F"	14.988	9.3045	14.988	9.3282	14.988	9.418	14.988	9.2895
"11/03/2020/09:56:27"	"F"	14.984	9.3095	14.984	9.3386	14.984	9.4179	14.984	9.2859
"11/03/2020/09:56:28"	"F"	14.976	9.3154	14.976	9.338	14.976	9.421	14.976	9.2822
"11/03/2020/09:56:29"	"F"	14.972	9.3135	14.972	9.3458	14.972	9.4248	14.972	9.2931
"11/03/2020/09:56:30"	"F"	14.975	9.3145	14.975	9.3362	14.975	9.4231	14.975	9.2922
"11/03/2020/09:56:31"	"F"	14.981	9.3101	14.981	9.333	14.981	9.4199	14.981	9.2896
"11/03/2020/09:56:32"	"F"	14.984	9.319	14.984	9.3285	14.984	9.4157	14.984	9.2855
"11/03/2020/09:56:33"	"F"	14.984	9.3265	14.984	9.3287	14.984	9.416	14.984	9.2903
"11/03/2020/09:56:34"	"F"	14.985	9.3303	14.985	9.3269	14.985	9.4198	14.985	9.2981
"11/03/2020/09:56:35"	"F"	14.99	9.3248	14.99	9.3274	14.99	9.4117	14.99	9.299
"11/03/2020/09:56:36"	"F"	14.991	9.317	14.991	9.3292	14.991	9.4081	14.991	9.2923
"11/03/2020/09:56:37"	"F"	14.986	9.3167	14.986	9.3307	14.986	9.4139	14.986	9.2855
"11/03/2020/09:56:38"	"F"	14.984	9.3126	14.984	9.3299	14.984	9.4192	14.984	9.2824
"11/03/2020/09:56:39"	"F"	14.982	9.307	14.982	9.3289	14.982	9.4205	14.982	9.2937
"11/03/2020/09:56:40"	"F"	14.982	9.3087	14.982	9.3238	14.982	9.4165	14.982	9.2932
"11/03/2020/09:56:41"	"F"	14.984	9.3142	14.984	9.3179	14.984	9.4214	14.984	9.2987
"11/03/2020/09:56:42"	"F"	14.985	9.3175	14.985	9.3126	14.985	9.4264	14.985	9.2894
