FishID,Group,Tank,Pop,Sex,BreedingCond,TL,SL,MBD,WetMass,FoilMass,PackageMass,DryMass,Exposed,ExposureDate,DPE,Infected,WormNumber,WormWetMass,WormDryMass,RespDate,Chamber,W_M1,W_M2,W_M3,W_Mavg,W_Mmin,D_M1,D_M2,D_M3,D_Mavg,D_Mmin,Notes
SG2_11,17,SG2,SG,F,N,71.16,61.58,12.85,2.4043,0.1864,0.9719,0.7855,Y,,,N,0,0,0,12/14/2020,1,104.906,105.553,109.755,106.738,104.906,,,,#DIV/0!,0,
GS2_11,17,GS2,GS,F,N,65.41,56.67,11.93,1.9481,0.2024,0.8927,0.6903,Y,,,N,0,0,0,12/14/2020,2,120.878,130.331,138.312,129.8403333,120.878,,,,#DIV/0!,0,
SG2_12,17,SG2,SG,M,Y,67.63,58.78,12.67,2.8948,0.2135,1.1736,0.9601,Y,,,N,0,0,0,12/14/2020,3,135.466,162.058,175.02,157.5146667,135.466,,,,#DIV/0!,0,
GS2_12,17,GS2,GS,M,N,71.76,62.84,13.64,2.7001,0.2415,1.3294,1.0879,Y,,,Y,1,0.2636,0.0811,12/14/2020,4,114.202,124.353,125.737,121.4306667,114.202,,,,#DIV/0!,0,
GS3_8,18,GS3,GS,M,Y,68.93,60.75,12.79,2.7242,0.2115,1.0072,0.7957,N,,,NA,NA,NA,NA,12/15/2020,1,160.259,172.435,174.467,169.0536667,160.259,,,,#DIV/0!,0,
SG2_13,18,SG2,SG,M,N,58.64,50.18,11.09,1.4852,0.1987,0.7234,0.5247,Y,,,N,0,0,0,12/15/2020,2,123.819,156.626,159.279,146.5746667,123.819,,,,#DIV/0!,0,
GS2_13,18,GS2,GS,M,Y,67.63,59.29,12.95,2.499,0.2023,0.7957,0.5934,Y,,,N,0,0,0,12/15/2020,3,159.109,171.991,172.479,167.8596667,159.109,,,,#DIV/0!,0,
GS2_14,18,GS2,GS,F,N,65.49,57.14,12.03,2.1022,0.2239,1.0069,0.783,Y,,,N,0,0,0,12/15/2020,4,131.983,133.786,134.177,133.3153333,131.983,,,,#DIV/0!,0,
SG2_14,19,SG2,SG,F,N,62.54,53.94,10.16,1.5149,0.205,0.7262,0.5212,Y,,,N,0,0,0,12/16/2020,1,134.599,138.646,141.337,138.194,134.599,,,,#DIV/0!,0,
GS2_15,19,GS2,GS,M,Y,68.65,59.87,12.51,2.4258,0.2109,0.8497,0.6388,Y,,,N,0,0,0,12/16/2020,2,177.978,185.638,185.665,183.0936667,177.978,,,,#DIV/0!,0,
SG2_15,19,SG2,SG,F,N,61.67,52.79,11.01,1.5387,0.2237,0.7464,0.5227,Y,,,N,0,0,0,12/16/2020,3,116.69,123.424,127.111,122.4083333,116.69,,,,#DIV/0!,0,
GS2_16,19,GS2,GS,F,N,64.65,56.22,13.42,2.4015,0.2052,0.8563,0.6511,Y,,,Y,1,0.2911,0.094,12/16/2020,4,110.802,115.502,117.606,114.6366667,110.802,,,,#DIV/0!,0,
SG2_16,20,SG2,SG,M,Y,71.12,61.33,13.87,3.0982,0.2365,0.9984,0.7619,Y,,,Y,2,0.252,0.0719,12/19/2020,1,155.2,167.326,174.331,165.619,155.2,,,,#DIV/0!,0,
SG3_8,20,SG3,SG,F,N,71.06,62.68,11.93,2.502,0.2437,0.904,0.6603,N,,,NA,NA,NA,NA,12/19/2020,2,92.055,128.627,140.206,120.296,92.055,,,,#DIV/0!,0,
